Region,Holiday_Promotion,Population,Income_Level,Bakery_Count,Demand,Year,Holiday_Season
Marmara,0,10687090,23174,2342,10300.51538949685,2019,0
Marmara,1,2033724,7778,1896,14534.916962883997,2023,0
Southeast Anatolia,0,4055192,10161,4544,8819.772891523018,2016,1
Marmara,1,10859179,9238,1191,21008.84775581375,2018,1
Eastern Anatolia,0,11997980,16757,187,4472.544169837942,2022,1
Aegean,0,13860714,23536,2817,7659.842890039908,2023,0
Aegean,1,2386443,6307,2051,12804.006465438382,2014,1
Black Sea,0,7971392,20145,265,6268.693518552728,2021,0
Mediterranean,0,8258996,9370,2348,14348.621493907776,2014,1
Southeast Anatolia,1,5223673,12903,122,8163.888443622217,2021,0
Aegean,0,13411548,18093,3362,12395.405829730043,2018,1
Mediterranean,0,1542256,22905,1002,9588.565367212543,2017,0
Marmara,0,1979148,13634,3666,12453.566039989371,2015,0
Southeast Anatolia,0,10817819,2274,4324,6096.333964939381,2021,0
Central Anatolia,0,5846165,11014,4210,4546.6719378571015,2019,0
Southeast Anatolia,0,5367591,15066,4686,4850.735301972025,2021,0
Marmara,1,7425192,18236,2533,12499.237782431785,2017,0
Black Sea,1,4983904,16834,707,7559.458326677203,2017,0
Marmara,1,10107290,9200,4234,23499.691546928207,2020,1
Marmara,1,11635520,13422,4156,19408.543707402074,2014,1
Southeast Anatolia,0,8208840,14641,538,11232.060976193796,2018,1
Black Sea,1,7730315,17767,3629,13370.128031707653,2014,1
Central Anatolia,1,5522944,13905,1724,5744.653061516074,2023,0
Black Sea,0,2244757,8612,3624,7017.845041932814,2019,0
Central Anatolia,0,12471826,2493,1920,4717.589532072005,2023,0
Eastern Anatolia,0,3074914,14000,4471,5077.692681666313,2020,1
Aegean,0,5383516,5590,481,7906.395676288026,2021,0
Black Sea,0,10276041,24436,590,11027.183880232065,2014,1
Central Anatolia,0,4765415,10635,3645,7094.163270525116,2018,1
Marmara,0,10148839,18378,4986,19762.760255321456,2014,1
Mediterranean,0,8489568,14045,2552,14899.641356178297,2020,1
Central Anatolia,0,10938236,17430,1921,5484.832996844638,2015,0
Central Anatolia,0,14387496,18943,2385,6951.514467375069,2020,1
Southeast Anatolia,1,7343761,19389,4288,5865.271135609688,2015,0
Black Sea,0,8869746,14588,4092,6680.02928409343,2019,0
Aegean,1,1580843,11242,652,12996.773049070784,2016,1
Central Anatolia,0,10742669,16598,903,6476.110161961197,2022,1
Black Sea,1,10400364,2427,3612,10702.508908615593,2018,1
Mediterranean,0,14221702,16914,3925,10899.239343851497,2017,0
Central Anatolia,1,7488590,12432,3877,5580.175763259506,2015,0
Southeast Anatolia,1,2511284,14872,1209,6653.2958780883855,2023,0
Southeast Anatolia,1,12231588,2357,3651,6100.533627218092,2021,0
Black Sea,0,10709601,13825,1075,7117.288882771783,2015,0
Black Sea,1,13230920,7559,2589,10749.038691174886,2016,1
Southeast Anatolia,1,5534727,4163,2677,6283.293448626083,2017,0
Mediterranean,1,8586889,11095,2022,15574.826055626385,2020,1
Aegean,1,4562578,6678,532,9923.714013204844,2015,0
Marmara,1,3722413,5326,4349,27988.62073492823,2020,1
Marmara,0,10280174,6129,4419,22128.124655236832,2022,1
Black Sea,1,2028482,12280,2414,12326.49910091993,2022,1
Eastern Anatolia,0,8176837,12821,951,4091.813871621803,2017,0
Mediterranean,1,8932063,4392,4420,9474.452892695905,2019,0
Central Anatolia,1,3331493,5043,4956,7364.710250069257,2022,1
Aegean,1,8360505,24688,1943,8501.235763214203,2017,0
Southeast Anatolia,0,14119308,24891,2586,9428.262410159408,2018,1
Mediterranean,1,1700917,8620,4696,12727.870150319342,2017,0
Central Anatolia,0,6560881,7349,1623,4746.649092987565,2019,0
Black Sea,0,12751130,17312,2046,7271.25405340664,2017,0
Aegean,1,14203330,20341,4635,9557.78894691604,2019,0
Eastern Anatolia,1,8484456,3315,1487,5995.010204801547,2018,1
Black Sea,1,9797312,19830,4665,8459.043392957154,2019,0
Southeast Anatolia,1,11395372,16557,1136,5864.140697569834,2023,0
Marmara,1,10080786,18898,328,21108.130232057327,2022,1
Southeast Anatolia,1,3016191,7665,3507,10657.27771864739,2014,1
Central Anatolia,1,2013750,16209,2755,5288.458263129383,2023,0
Aegean,0,14800226,7942,182,10819.371664248461,2022,1
Marmara,0,12791962,18851,4733,24166.82007952894,2020,1
Marmara,0,13155254,3743,3787,11556.394053705566,2023,0
Southeast Anatolia,1,3158062,11634,4412,7676.044178790444,2017,0
Central Anatolia,1,3466491,16920,4837,6835.0598914852635,2020,1
Eastern Anatolia,0,7211857,5994,1992,3701.274838603942,2021,0
Black Sea,0,1268999,18700,3470,9736.9336012019,2022,1
Central Anatolia,0,5611226,1903,1740,6992.874914188136,2014,1
Central Anatolia,0,3681049,17517,4919,5146.465326465223,2019,0
Central Anatolia,0,11799909,21776,4546,7729.5911847011885,2018,1
Black Sea,1,14360521,13909,4059,10964.881604289209,2016,1
Mediterranean,0,5293988,16955,4412,9823.473825274104,2021,0
Mediterranean,0,14454197,3516,3181,11509.155002356418,2021,0
Mediterranean,0,11090565,4641,4261,10595.19585445667,2023,0
Southeast Anatolia,1,9474922,16651,1209,9490.55588789398,2018,1
Southeast Anatolia,1,6987604,20458,2986,10136.22292897986,2020,1
Black Sea,0,13893907,22250,1334,10013.80185935144,2022,1
Eastern Anatolia,0,3988147,8274,2531,3917.8271114898707,2023,0
Central Anatolia,1,3020109,13424,1302,7280.427464107044,2014,1
Marmara,1,1761309,17183,453,11500.351587730218,2015,0
Mediterranean,1,7646420,19828,505,16973.415475514634,2022,1
Marmara,1,3478868,3376,3207,24784.666946950976,2016,1
Black Sea,1,8614087,16091,4223,10210.54911123679,2020,1
Mediterranean,0,14538394,15122,3423,9108.459531330864,2015,0
Central Anatolia,1,11803315,4663,3678,5477.646058401717,2021,0
Marmara,1,1412800,10139,1743,22636.819029589264,2018,1
Black Sea,0,4276545,10262,4045,8504.352554641831,2022,1
Black Sea,1,11414967,7175,960,6701.21376122596,2023,0
Southeast Anatolia,0,4062419,9806,2372,6244.8479518966,2017,0
Eastern Anatolia,0,10893727,4439,2018,4843.472140016367,2016,1
Aegean,1,2908391,7028,3180,9076.347226381602,2015,0
Aegean,0,4556559,24604,4703,11641.624411781906,2016,1
Southeast Anatolia,0,7146944,7234,3067,7637.932732968554,2016,1
Southeast Anatolia,0,8466653,2818,2378,5475.521154677492,2021,0
Black Sea,1,5123145,3489,3704,10432.950287769167,2020,1
Southeast Anatolia,1,12157279,3740,2491,10331.72911743932,2018,1
Central Anatolia,1,3668302,3422,4323,4538.260494734243,2021,0
Aegean,1,4194091,12251,4856,6766.138217716652,2017,0
Southeast Anatolia,1,9029563,15542,313,11334.428072983545,2018,1
Eastern Anatolia,0,1997356,15627,3573,4239.152131901616,2021,0
Eastern Anatolia,0,7503190,24807,3463,3649.56724281665,2017,0
Eastern Anatolia,1,9187344,19229,477,4296.743401051938,2021,0
Southeast Anatolia,1,10933990,20118,4247,6321.989765718712,2017,0
Marmara,0,13676012,21375,1297,12347.595824694294,2021,0
Southeast Anatolia,1,2399138,23469,948,9397.663135898787,2014,1
Black Sea,0,7985175,23311,4274,6195.979776186593,2023,0
Aegean,1,5421249,16750,4182,13845.892580862477,2022,1
Central Anatolia,0,11349481,16059,1057,5907.198135163595,2021,0
Southeast Anatolia,0,6813407,13039,3781,9476.809262900675,2022,1
Black Sea,1,10568893,1962,1203,7757.807172927289,2015,0
Central Anatolia,0,10693221,17939,2653,6360.730742570281,2014,1
Southeast Anatolia,0,4832160,9889,579,5526.753176990218,2019,0
Eastern Anatolia,1,8767763,22164,746,4220.672275380194,2021,0
Eastern Anatolia,0,14065090,21591,3366,4988.323806990481,2022,1
Central Anatolia,0,14607930,14813,4415,7271.700970613093,2022,1
Black Sea,0,14880563,17518,3219,7862.325500080634,2019,0
Southeast Anatolia,1,2869554,20676,3809,6712.445103643532,2021,0
Mediterranean,1,8669012,18227,3371,17928.762087252442,2018,1
Black Sea,0,11874813,3289,123,9851.17224741852,2016,1
Central Anatolia,0,5484261,12370,3786,5285.505631195283,2021,0
Eastern Anatolia,0,3867636,7725,1903,4019.237268949226,2017,0
Central Anatolia,1,2757365,21129,2225,7196.095092955274,2022,1
Black Sea,1,6539865,22864,1387,9852.674231730714,2022,1
Southeast Anatolia,1,14320206,22284,4441,6016.546352398094,2023,0
Southeast Anatolia,1,5697619,4150,1159,6143.845106521271,2017,0
Eastern Anatolia,0,8082750,8795,2813,4095.9691244843025,2015,0
Southeast Anatolia,1,14246750,22378,2129,6397.775964386438,2015,0
Mediterranean,0,13954554,14330,1488,20131.805078770318,2014,1
Eastern Anatolia,1,14694297,21507,1412,5484.827025454089,2022,1
Mediterranean,0,6015123,8772,2455,11570.807596502174,2019,0
Southeast Anatolia,1,4197550,11060,4479,7579.932141378658,2021,0
Black Sea,1,5702724,10483,593,8026.995768631805,2015,0
Marmara,0,12067921,11008,2153,21511.78833483522,2020,1
Black Sea,1,11439786,9495,1352,9810.886276877452,2014,1
Marmara,1,12053602,9739,2079,22329.970269216123,2014,1
Eastern Anatolia,0,2360215,11025,3937,5203.376979355365,2020,1
Black Sea,1,4419016,20932,566,11070.681261562437,2022,1
Aegean,1,5611416,8316,474,12351.966128288075,2016,1
Eastern Anatolia,0,10822045,10324,4880,4700.437996501914,2020,1
Marmara,1,3483547,19220,4909,13634.874833793518,2019,0
Marmara,1,9017818,13871,1761,13232.746907298997,2017,0
Mediterranean,0,4229314,10479,3126,15618.928827825408,2016,1
Eastern Anatolia,1,1174256,6921,4297,4375.891307699365,2019,0
Eastern Anatolia,0,3633542,24894,705,3640.546729716765,2016,1
Black Sea,1,1303899,20209,1528,10799.62738561952,2022,1
Southeast Anatolia,1,4849750,12360,2005,8852.29894604847,2018,1
Black Sea,0,5484967,16786,431,7254.4329754149185,2023,0
Eastern Anatolia,0,7774374,2629,2029,4053.584707724816,2023,0
Aegean,0,9298664,23910,3260,12898.087579094989,2022,1
Mediterranean,1,1152811,8419,3101,18934.40747004064,2020,1
Aegean,0,6445382,7081,2879,9375.717104992158,2021,0
Eastern Anatolia,1,8052908,12910,815,4232.905252431048,2014,1
Eastern Anatolia,1,5229111,10487,2645,4344.534409233818,2015,0
Central Anatolia,0,4392628,21223,4142,3979.7625636939174,2019,0
Black Sea,0,3946004,11322,2238,10280.882650932184,2022,1
Eastern Anatolia,1,8095445,19327,2165,4326.506704793362,2021,0
Mediterranean,1,8413345,2729,4515,10482.162809673226,2017,0
Aegean,0,14075754,6768,3325,8213.614798699191,2019,0
Black Sea,1,11416096,20138,1664,9645.021902423385,2016,1
Eastern Anatolia,0,10966100,11039,3910,5686.967146498908,2014,1
Eastern Anatolia,1,9512706,2033,3753,5150.948044203702,2016,1
Black Sea,1,14441006,1864,966,10862.502864957974,2018,1
Eastern Anatolia,0,4364701,23345,2133,4738.307502226376,2018,1
Aegean,1,10855822,17130,2348,14417.581002741232,2016,1
Mediterranean,0,11721294,13931,4023,8797.795354892738,2021,0
Central Anatolia,1,11461365,21184,3560,7742.169249792441,2016,1
Aegean,0,12295942,22994,503,11377.722400303852,2022,1
Aegean,1,12633294,16205,3289,8351.346685686243,2017,0
Marmara,0,7326414,22461,515,13055.271567795382,2023,0
Central Anatolia,0,11264545,13810,863,6325.668235171862,2022,1
Southeast Anatolia,0,1404994,4285,1459,6368.2690924887465,2019,0
Mediterranean,1,6867371,15466,235,11695.699095499976,2015,0
Black Sea,1,5414918,19944,1424,10403.63145195393,2018,1
Marmara,0,7354807,16231,2845,22103.15021307793,2018,1
Aegean,0,8665655,4740,779,7612.883257916525,2017,0
Black Sea,0,1459649,1670,4700,6986.304028274747,2021,0
Aegean,0,12591523,9334,4414,8378.948358032008,2015,0
Mediterranean,1,1305154,18975,2570,15916.113451986033,2018,1
Aegean,1,13458203,19718,1347,9187.458036729699,2023,0
Eastern Anatolia,0,8586865,7413,4576,4952.4783937824,2020,1
Black Sea,0,7962147,20811,499,5957.70033877308,2023,0
Central Anatolia,1,3232920,8261,217,5089.657341360384,2019,0
Black Sea,0,14936441,6266,496,6515.963123862946,2017,0
Marmara,0,6786326,8377,2091,11466.734004668504,2023,0
Mediterranean,1,1952956,2293,806,9948.519715973129,2017,0
Black Sea,1,9144127,15085,4801,11792.414008075679,2020,1
Southeast Anatolia,0,1847505,18688,1535,9954.482309269199,2022,1
Eastern Anatolia,1,5318813,12098,4509,4864.000797438131,2014,1
Black Sea,1,3066290,22515,4326,9535.804731511998,2018,1
Southeast Anatolia,0,12059503,16158,2381,5991.996651218119,2021,0
Central Anatolia,0,6428611,5573,4095,7364.622613924808,2014,1
Central Anatolia,1,10387591,24537,1423,8690.252915546425,2018,1
Marmara,0,9177757,19711,1322,11190.505201163365,2017,0
Black Sea,0,14140803,20850,1860,5407.528178399518,2017,0
Eastern Anatolia,0,11703773,21811,936,4086.0089786430894,2014,1
Southeast Anatolia,0,11305198,16280,4000,4930.5247027191035,2017,0
Central Anatolia,1,8214471,10023,2758,5729.261753514919,2021,0
Aegean,0,6499321,22815,1850,12117.033375633118,2016,1
Marmara,0,11834746,22916,319,12260.628629817418,2015,0
Mediterranean,1,3518232,22902,759,12238.52350378465,2021,0
Eastern Anatolia,1,5111941,2725,4237,5116.733116256855,2015,0
Eastern Anatolia,1,14992506,9993,428,5725.080663333067,2022,1
Marmara,1,11279371,20938,2599,14170.45514596902,2021,0
Black Sea,1,9386237,7019,3153,9190.965174385201,2016,1
Southeast Anatolia,1,2466310,18347,2007,9396.491574424368,2022,1
Mediterranean,1,7468011,8725,3713,12523.303750438194,2019,0
Mediterranean,1,7858546,15798,2779,10395.37362868902,2021,0
Central Anatolia,1,2641675,23098,3041,7940.471372216832,2014,1
Black Sea,1,14964431,21429,3905,7795.003190018585,2023,0
Mediterranean,1,3268769,8717,4987,11861.504526397683,2023,0
Marmara,0,6099892,3895,1787,10953.792778661671,2019,0
Eastern Anatolia,1,14784315,9439,2056,5682.934717018152,2022,1
Black Sea,0,7041264,7498,774,9173.312068929697,2016,1
Eastern Anatolia,0,8390009,24724,3059,4910.6618443126135,2014,1
Southeast Anatolia,1,14610630,12245,1259,6580.795689839286,2015,0
Aegean,1,13493561,12034,388,9848.993530654121,2015,0
Eastern Anatolia,1,9457801,11466,1574,5719.334347809349,2018,1
Central Anatolia,0,3794205,19630,1387,5352.288107733098,2014,1
Marmara,0,8693674,4601,1153,11027.519835684316,2019,0
Aegean,0,4543402,21489,2981,11236.92923754434,2020,1
Mediterranean,0,6559930,5920,2905,17106.783136346385,2020,1
Black Sea,0,11100616,18915,1988,6653.247397652779,2019,0
Black Sea,0,13192606,11811,3531,8732.422086656514,2020,1
Central Anatolia,1,4917513,16016,1469,4749.443949676293,2017,0
Aegean,1,9215494,22251,291,9440.071158063136,2021,0
Eastern Anatolia,0,2857993,8175,3608,3804.7031370761497,2014,1
Southeast Anatolia,1,12118922,11727,2760,10944.585758984444,2020,1
Marmara,1,6933743,21465,1010,20702.297340023393,2014,1
Aegean,0,7631775,8405,951,7641.825833102977,2017,0
Marmara,0,7900479,24830,1377,19076.032289629045,2016,1
Marmara,1,12757021,7820,1535,21576.083978467435,2016,1
Aegean,1,8893993,9867,1808,12905.090610845946,2020,1
Aegean,1,8772098,14824,4814,13019.51692427908,2018,1
Black Sea,1,7502153,20284,3713,9113.039464501611,2014,1
Aegean,0,4907043,22044,245,7675.704210885435,2021,0
Eastern Anatolia,0,9569258,3528,3088,4849.552056307298,2022,1
Black Sea,0,8030080,10207,2076,10258.592768669581,2018,1
Southeast Anatolia,0,13079191,20599,2557,4774.548920797805,2015,0
Mediterranean,1,10296714,21701,1962,10473.27668741997,2019,0
Black Sea,1,4703644,4584,1793,6118.714200101423,2023,0
Marmara,0,1066102,21355,2705,11390.118322944743,2023,0
Marmara,0,5805917,24113,1419,20670.20035360608,2020,1
Aegean,1,14243435,11947,2344,9353.645455586699,2021,0
Black Sea,1,2644739,11796,4549,11829.352649575598,2018,1
Aegean,1,1173338,7458,2051,11851.236923411037,2016,1
Mediterranean,1,8854186,7051,2231,18117.90177554969,2016,1
Central Anatolia,0,14277041,2701,4167,6925.757074659463,2016,1
Southeast Anatolia,0,8056795,12128,4826,8327.655720866549,2018,1
Southeast Anatolia,0,12153849,21024,653,6463.803293582433,2017,0
Black Sea,1,6512972,24264,4366,7804.694879097092,2019,0
Aegean,1,8100032,23269,3890,8559.358367911454,2015,0
Mediterranean,1,13462011,12144,4368,17849.50152613618,2020,1
Black Sea,1,14776765,7457,1925,6483.244626563583,2019,0
Eastern Anatolia,0,10471322,5500,2119,4056.1855698075856,2019,0
Aegean,0,5287786,3830,2324,7323.357306936947,2017,0
Marmara,0,4015163,15670,3557,21662.26892371416,2022,1
Eastern Anatolia,1,5460157,9147,3757,5065.72716728535,2022,1
Eastern Anatolia,0,11121617,1587,2685,4115.356885338002,2017,0
Central Anatolia,1,13154904,3914,3712,8002.186599402949,2020,1
Black Sea,1,7932193,3299,1594,7797.8969703143,2015,0
Marmara,0,1288692,16057,286,13200.542859390798,2023,0
Black Sea,0,12513293,19977,537,6283.954985202983,2015,0
Central Anatolia,0,6979270,22084,2193,5716.8399338487125,2023,0
Central Anatolia,1,13713166,23960,4975,6425.89724526498,2014,1
Central Anatolia,0,1751733,3226,3525,5685.265063254777,2014,1
Black Sea,1,4685186,10703,4070,7488.380820810416,2019,0
Mediterranean,0,8190630,1949,4336,9555.540121968754,2023,0
Eastern Anatolia,0,14122826,14473,1772,4040.643319220498,2014,1
Aegean,1,11787598,24609,3774,11711.245835363152,2020,1
Aegean,1,5652105,14699,4594,5637.053364866071,2019,0
Mediterranean,1,6148408,13052,1494,15221.852902876082,2018,1
Marmara,0,13418018,10062,4787,20174.745006954734,2018,1
Marmara,0,5731225,4673,2149,24818.07087185436,2018,1
Southeast Anatolia,1,11055487,10114,4725,7070.606426590296,2021,0
Central Anatolia,1,5612351,6539,3164,7381.302479864789,2022,1
Southeast Anatolia,1,6079089,6385,3652,8029.089856628729,2017,0
Eastern Anatolia,0,6385015,10981,356,3939.6388011887066,2018,1
Central Anatolia,0,8662479,8807,833,6455.995236294542,2018,1
Black Sea,0,4613126,9346,3451,8424.809657723821,2023,0
Eastern Anatolia,1,10810926,22262,3950,4176.769032869811,2021,0
Mediterranean,0,7247284,8755,3253,14675.552136640492,2020,1
Southeast Anatolia,1,10111149,19004,1274,7139.443158795067,2015,0
Black Sea,0,11443940,7998,4162,9254.415348469724,2016,1
Eastern Anatolia,1,6889299,19967,2056,5944.910526892597,2018,1
Aegean,1,12782503,9888,4537,14297.567931534344,2022,1
Black Sea,0,14332021,24551,4781,9613.319159548939,2014,1
Aegean,1,3343967,17792,2760,14494.356127577352,2018,1
Mediterranean,0,5519984,8835,3783,15623.123621843512,2018,1
Eastern Anatolia,1,4035545,15463,3678,4458.393445183023,2015,0
Central Anatolia,1,4868320,16129,2643,5821.883669900928,2017,0
Marmara,1,3010531,24795,912,22834.460483638963,2018,1
Eastern Anatolia,1,10427793,6449,2777,6077.432369824368,2018,1
Marmara,1,13489031,5465,2638,13292.38058395889,2019,0
Aegean,0,11001074,7510,4028,12347.577394700684,2016,1
Mediterranean,1,1497544,22671,4330,9551.970467435793,2023,0
Southeast Anatolia,1,9402301,19550,3151,9261.903483018858,2018,1
Southeast Anatolia,1,12212288,17698,3073,6707.503497283522,2021,0
Central Anatolia,1,11245028,16780,1792,5977.8043819220875,2015,0
Southeast Anatolia,0,1350096,18828,1611,10271.637753322808,2020,1
Mediterranean,0,12604494,7069,3148,8939.320098811275,2015,0
Eastern Anatolia,0,2108476,23452,1186,4403.2232414076425,2016,1
Eastern Anatolia,1,13848256,9126,2768,4630.6396660891505,2018,1
Mediterranean,0,1055495,10917,2031,16789.780465662854,2014,1
Central Anatolia,1,14585416,16408,3526,6277.331150958334,2023,0
Central Anatolia,0,4770180,14435,4715,6397.317432382091,2022,1
Aegean,0,1369337,6071,564,8046.699527140653,2021,0
Marmara,0,8701671,7826,4952,12159.036432506276,2019,0
Southeast Anatolia,0,1601178,4879,1408,8577.836879124283,2014,1
Aegean,0,6387542,22672,3060,10534.43004689553,2016,1
Black Sea,0,2649878,9324,2797,7741.973953380459,2015,0
Aegean,0,9793150,11702,279,8123.40255215956,2023,0
Marmara,0,1802040,23039,2959,20415.929889915362,2018,1
Southeast Anatolia,1,2466934,11550,3494,12875.075536051634,2022,1
Aegean,1,6883937,3855,2201,8797.504858176271,2017,0
Southeast Anatolia,1,14902310,23910,1560,8205.09996149671,2018,1
Southeast Anatolia,1,1206391,17790,3471,10548.260774703003,2016,1
Central Anatolia,0,9181051,23829,1068,4079.229101600698,2023,0
Southeast Anatolia,1,9651617,9784,2193,6907.567822498185,2021,0
Marmara,1,1360207,2581,3762,13780.09314874564,2017,0
Mediterranean,1,10755926,1755,813,20028.60079244587,2020,1
Black Sea,1,3731071,3496,4169,6928.222173410832,2015,0
Southeast Anatolia,1,3957796,14199,4840,6406.182781481244,2017,0
Marmara,0,1536940,17024,1503,11917.111044995307,2023,0
Central Anatolia,1,11776415,24270,4594,7769.015534510223,2014,1
Marmara,0,2094969,16777,942,22537.964860133518,2016,1
Central Anatolia,0,11396210,19973,4259,6837.215291926594,2022,1
Black Sea,1,6610380,18070,1528,8638.496010822559,2015,0
Southeast Anatolia,1,14967661,15654,2774,6453.381237877494,2021,0
Mediterranean,0,2037368,7868,596,18340.361967242632,2020,1
Eastern Anatolia,1,6492037,16746,4672,5233.358727289172,2020,1
Marmara,1,2540557,23493,2338,14382.008657793656,2019,0
Black Sea,0,2583440,4265,1256,6653.140276925549,2019,0
Mediterranean,0,5345759,18496,286,16952.049746286655,2016,1
Mediterranean,0,14377811,5901,3249,11158.151140023125,2017,0
Southeast Anatolia,0,1484911,23772,4617,8026.134907769117,2014,1
Central Anatolia,0,6439963,22267,1592,7113.827380017819,2018,1
Marmara,1,6352462,8287,960,24184.723596536125,2018,1
Mediterranean,1,7014373,13118,3124,13242.23511623143,2017,0
Marmara,1,6988952,19886,1376,12851.66078857472,2017,0
Aegean,0,7278767,2143,4723,8234.795383863215,2023,0
Mediterranean,0,14796048,8432,4709,15750.28244990319,2022,1
Southeast Anatolia,0,7128939,16479,350,9596.557267746006,2022,1
Marmara,0,4761552,9317,3366,16884.28721682094,2018,1
Eastern Anatolia,1,14421110,12759,545,3779.433060128726,2017,0
Central Anatolia,0,12383136,21284,4419,5334.28251660743,2015,0
Eastern Anatolia,0,4566269,24716,4426,4812.729926358752,2022,1
Aegean,1,10422341,5767,4078,7036.956593059874,2023,0
Eastern Anatolia,1,13447301,9616,4046,4121.011423608129,2019,0
Mediterranean,1,7573417,18189,3874,16908.616103343,2018,1
Black Sea,0,3554454,12093,3592,6660.433606244018,2023,0
Aegean,0,11804813,5993,4265,8745.244583959968,2019,0
Black Sea,0,11386004,12681,2767,11031.233233592604,2014,1
Black Sea,1,2661482,4474,241,8367.569933563997,2016,1
Mediterranean,0,14477683,22071,262,9880.518329486244,2019,0
Southeast Anatolia,0,1453905,4440,1014,9102.373357811748,2020,1
Aegean,0,2712001,16535,4929,10222.044724665617,2016,1
Mediterranean,0,13012396,24278,4240,18004.98696820899,2022,1
Aegean,1,3129706,22078,4870,13689.69820744702,2018,1
Central Anatolia,1,3080584,22845,1983,7758.1170708844,2020,1
Aegean,1,8871416,8533,3091,8407.703738686048,2023,0
Eastern Anatolia,0,11443745,4071,4515,4426.116178105538,2022,1
Central Anatolia,1,11262690,14626,1354,6742.861029214838,2020,1
Marmara,1,8709223,17561,4522,23498.5652741694,2016,1
Central Anatolia,1,8376707,10147,1908,5265.971110620003,2021,0
Southeast Anatolia,0,7290721,24899,3345,9815.000756713685,2022,1
Marmara,0,9245869,16201,909,15199.25252859147,2021,0
Mediterranean,0,11142259,2502,2996,16932.097564116226,2016,1
Southeast Anatolia,0,3920317,1983,888,4831.653211708676,2015,0
Southeast Anatolia,1,3502008,22251,2136,6702.347620064279,2017,0
Central Anatolia,1,11609196,17132,836,4846.710590245281,2019,0
Mediterranean,1,10799589,6060,129,10551.56020427277,2021,0
Marmara,0,4952592,2162,739,21523.06080924396,2018,1
Aegean,1,10621245,8291,2616,8571.955465357763,2021,0
Mediterranean,1,11418999,12229,289,15778.316569431714,2016,1
Black Sea,0,13231897,13431,2191,7365.357652589144,2017,0
Central Anatolia,1,12689653,21837,3517,5724.370127468844,2016,1
Black Sea,1,11249558,10540,3793,7997.494904044685,2021,0
Central Anatolia,1,4872897,13088,4419,5003.879618924227,2017,0
Mediterranean,1,2721445,15325,2738,18090.509135079992,2018,1
Southeast Anatolia,0,14324508,8065,2948,5193.188378964595,2021,0
Central Anatolia,0,3312327,14118,2454,5115.745853479724,2023,0
Eastern Anatolia,0,3573777,7515,4854,5461.11043563864,2014,1
Marmara,0,12889358,23741,1777,20315.47227077938,2014,1
Eastern Anatolia,0,12691200,3942,2972,3753.351570624514,2015,0
Mediterranean,0,13699881,2907,1288,10432.499471269966,2015,0
Marmara,0,14517356,17619,161,22055.91021561327,2016,1
Central Anatolia,0,5119969,21541,769,5601.872794780179,2018,1
Southeast Anatolia,1,12738939,13465,3997,10996.55085424933,2022,1
Marmara,0,6836910,3484,4508,23347.32973436607,2020,1
Central Anatolia,1,9837248,6485,4299,8066.694865108415,2016,1
Aegean,0,9022854,11087,2776,12655.081782447407,2018,1
Southeast Anatolia,0,2557551,15870,1643,7132.686147290436,2023,0
Aegean,0,2053252,11624,2102,6501.9121494101155,2023,0
Mediterranean,0,11974525,10617,3392,18438.261998217764,2020,1
Mediterranean,1,3882073,16937,2098,10571.086488000334,2017,0
Marmara,1,5750980,19709,3887,12481.96094751879,2017,0
Black Sea,0,5681822,17463,4524,6499.8833863731315,2019,0
Mediterranean,0,8921240,4403,3563,10509.350499195947,2021,0
Central Anatolia,0,9524158,15106,4159,5400.1216312049855,2023,0
Marmara,0,2729570,13677,2502,20592.698460689302,2022,1
Black Sea,1,5790984,12914,2822,11074.917113050797,2014,1
Eastern Anatolia,0,14200171,3644,3247,5105.537308037073,2023,0
Aegean,0,7171122,10853,4589,11196.146172343544,2018,1
Marmara,1,11206407,17139,2151,12679.288270657153,2021,0
Aegean,0,6904928,7336,2395,13703.870785273275,2020,1
Aegean,0,3825294,7990,3151,10109.384999517812,2014,1
Black Sea,0,10697892,9243,3707,10040.213554157226,2018,1
Aegean,0,10232190,14596,4643,6067.680856695716,2023,0
Marmara,1,5004588,15189,143,20482.305195180576,2018,1
Mediterranean,1,5899551,16196,2999,9690.915070031237,2015,0
Mediterranean,0,8800851,19366,2560,9123.49645773022,2015,0
Central Anatolia,1,12458482,1862,1282,6258.253313542008,2014,1
Black Sea,1,3900034,13256,4474,10996.659774106383,2022,1
Southeast Anatolia,0,5620951,20816,2011,10259.860060129278,2018,1
Aegean,0,4710154,15222,863,14446.871845516805,2020,1
Southeast Anatolia,1,13796016,3930,2793,8880.874140979568,2016,1
Eastern Anatolia,0,13689912,20676,308,4291.370866849656,2017,0
Black Sea,0,4782369,16725,4312,7845.953075348606,2021,0
Eastern Anatolia,0,5015167,2410,3115,4048.368941696164,2019,0
Aegean,1,6159068,17659,832,9423.472281464205,2017,0
Black Sea,0,10816142,18316,4290,10250.841077479432,2016,1
Southeast Anatolia,0,10057207,6682,235,6275.1196458550385,2017,0
Aegean,1,12350363,5165,2310,12227.64057482889,2022,1
Aegean,0,14328468,7266,4903,6404.854123381747,2021,0
Marmara,1,4806383,15844,4038,12739.728812690873,2019,0
Southeast Anatolia,0,5293890,8592,1093,8309.816030752692,2014,1
Aegean,1,7803157,16717,2326,12833.202524767596,2020,1
Southeast Anatolia,0,11961491,17584,1961,9865.306102768422,2014,1
Mediterranean,0,10428562,4964,385,11435.67530437445,2017,0
